"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1781232398459625611","Fri Apr 19 08:12:59 +0000 2024","0","@baltaoo tp masalahnya tampil di inter. 1. blackpink bagus bnr (ya dancenya biasa aja tp nge hype penonton bagus lagunya cocok utk festival) 2. aespa overall bagus bnr dance dan vocal tp boring kurang nge hype audience 3. le sserafim lagu lagunya cocok gsn festival tp sadly live vocalny","1781234527047971124","","baltaoo","in","South Borneo, Indonesia","0","1","0","https://x.com/luvlieszz/status/1781234527047971124","2860488025","luvlieszz"
"1781232398459625611","Fri Apr 19 08:11:46 +0000 2024","0","@baltaoo lain grogi ya allah.... itu 10 lagu dan koreografi le sserafim tu ngalih dan uyuh mampus dan kualitas vokal buannya b aja. sharusnya koreografernya tu meulah dance yg santai santai aja kaya blackpink tu contohnya","1781234218519105926","","baltaoo","in","South Borneo, Indonesia","0","2","0","https://x.com/luvlieszz/status/1781234218519105926","2860488025","luvlieszz"
"1781232398459625611","Fri Apr 19 08:07:02 +0000 2024","0","@baltaoo emg penampilan le sserafim jelek (ini objektif) aku sendiri pun suka lwn le sserafim","1781233029261967690","","baltaoo","in","South Borneo, Indonesia","0","2","0","https://x.com/luvlieszz/status/1781233029261967690","2860488025","luvlieszz"
"1780961185871118344","Fri Apr 19 07:59:15 +0000 2024","4","@akun_mitra55333 @jenaissantei_ Sebut nama aja gapapa. Shindong kan? Tapi kamu salah. Itu tayangan udah tapping dan ditayangkan di hari yg sama dengan Le Sserafim tampil di Coachella. Kamu ngira Knowing brothers acara live?","1781231070220038576","","akun_mitra55333","in","• OP81 • OB87 • KY10 • LB15 •","0","0","0","https://x.com/loquaciouspals/status/1781231070220038576","1166982618526601216","loquaciouspals"
"1780441610217750663","Fri Apr 19 07:47:01 +0000 2024","0","@Eunchah Kok gak salamin sendiri bukannya udah akrab sekarang? MINAT JUGA SAMA LE SSERAFIM tolong siapin seorang nanti BND datengin","1781227993320563132","","Eunchah","in","Not Real","0","1","0","https://x.com/Myuengjae/status/1781227993320563132","1414829100066246670","Myuengjae"
"1781222558240850041","Fri Apr 19 07:26:56 +0000 2024","0","@peopleenamduaa Pasti Boti takut kesaing ama anak2 ssera buahahha","1781222935556170187","","sakurakarawaci","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/pepepiona/status/1781222935556170187","1739803290383314944","pepepiona"
"1781222558240850041","Fri Apr 19 07:25:26 +0000 2024","1","Gw heran ama mulu laki Indonesia yg ngehate ssera pada lemes lemes amat sih lo tuh ngehate cewe woi -_-","1781222558240850041","","","in","Jakarta Selatan, DKI Jakarta","0","1","0","https://x.com/pepepiona/status/1781222558240850041","1739803290383314944","pepepiona"
"1781221541013012804","Fri Apr 19 07:21:23 +0000 2024","0","Kontroversi dan kritik terkait kualitas vokal LE SSERAFIM usai tampil di Coachella terus berlanjut namun member ini malah dapat respon positif. #LESSERAFIMatCOACHELLA https://t.co/7DiVJukDRa","1781221541013012804","","","in","Jember, Jawa Timur","0","0","0","https://x.com/Jember_Network/status/1781221541013012804","1675792740876161024","Jember_Network"
"1781221206961881573","Fri Apr 19 07:20:03 +0000 2024","0","Rahasia Cantik Bersama Sakura dari LE SSERAFIM Perawatan Kulit Melembabkan dan Trik Melentikkan Bulu Mata yang Inspiratif untuk Kecantikan Alami - Dicintai https://t.co/i69cIP4Qce","1781221206961881573","","","in","Jakarta Capital Region","0","0","0","https://x.com/stevegerard22/status/1781221206961881573","120283718","stevegerard22"
"1781221086329508048","Fri Apr 19 07:19:35 +0000 2024","1","OP Ini Hadir Coachella Ngaku Kaget LE SSERAFIM Dapat Hujatan: Penampilan Live Mereka Tidak Buruk... #LE_SSERAFIM #Coachella https://t.co/tLZwCR2ZbN","1781221086329508048","","","in","Indonesia","0","0","1","https://x.com/KpopChartNet/status/1781221086329508048","972179486","KpopChartNet"
"1781220667083690466","Fri Apr 19 07:17:55 +0000 2024","0","semangat Le Sserafim week 2 nya HABISKAN!!! ","1781220667083690466","","","in","soshirevelae2hearts","0","0","0","https://x.com/imjoraengi/status/1781220667083690466","1533479517511032832","imjoraengi"
"1781219936922407114","Fri Apr 19 07:15:01 +0000 2024","27","*le sserafim lagi dihujat* ️ : lah idol gua juga pernah ️ : si A hujatannya lebih parah ️ : zaman idol B hujatannya lebih ngeri Stop adu nasib please semua idol ga pantes dihujat kecuali perbuatannya merugikan orang.","1781219936922407114","","","in","hongppippi mom! ","0","1","7","https://x.com/hongpippi/status/1781219936922407114","1706766563372863488","hongpippi"
"1781219872254652512","Fri Apr 19 07:14:45 +0000 2024","0","Update 30 Juni 2023 Open Sewa Iphone 12 Promax 256GB Niki P1Harmony Ahn Hyoseop TXT Le Sserafim Nanon Ohm Pawat amp Tawan Fujii Kaze Taeyong 9 Juli 400ktgl konser Bisa langsung DM utk Tnc atau tanya event selain di list TaeyeonThe BoyzColdplay Tillybirds Jkt","1781219872254652512","","","in","","0","0","0","https://x.com/sukarno_johan/status/1781219872254652512","1717012996621516800","sukarno_johan"
